unique.id,cited.species,gender,considered.species,country,admin2,admin3,locality,col.start.year,col.finish.year,1.year.monthly?,lon_orig,lat_orig,mun_geocod,mun_lon,mun_lat,area.mun.km,lon_dec,lat_dec,coord.prec,loc_type_wieczorek,fonte das coordenadas,ref,year_of_pub,obs,n
2125,L. migonei,,L_migonei,Brazil,Mato Grosso do Sul,Bataguassu,,NA (before 1978),NA (before 1978),0,,,5001904,-52.425437,-21.715288,2417.599,-52.425437,-21.715288,3,,IBGE 2015 (Municipality admin center),Martins et al. 1978,1978,,
2126,L. neivai,,L_neivai,Brazil,Mato Grosso do Sul,Bataguassu,,NA (before 1978),NA (before 1978),0,,,5001904,-52.425437,-21.715288,2417.599,-52.425437,-21.715288,3,,IBGE 2015 (Municipality admin center),Martins et al. 1978,1978,,
2128,L. whitmani,,L_whitmani,Brazil,Mato Grosso do Sul,Bataguassu,,NA (before 1978),NA (before 1978),0,,,5001904,-52.425437,-21.715288,2417.599,-52.425437,-21.715288,3,,IBGE 2015 (Municipality admin center),Martins et al. 1978,1978,,
2159,L. longipalpis,,L_longipalpis,Brazil,Mato Grosso do Sul,Bonito,Fazenda Inhuma,1970,1970,0,,,5002209,-56.492859,-21.124341,4934.414,-56.492859,-21.124341,3,,IBGE 2015 (Municipality admin center),Collection data: CPqRR (speciesLink),,,
2160,L. longipalpis,,L_longipalpis,Brazil,Mato Grosso do Sul,Bonito,Fazenda salobrão,1998,2000,,,,5002209,-56.492859,-21.124341,4934.414,-56.492859,-21.124341,3,,IBGE 2015 (Municipality admin center),Galati et al. 2006,2006,"Area de floresta sazonal em sub montanha em pequenas fazendas, com coleta no nivel do solo",
2161,L. whitmani,,L_whitmani,Brazil,Mato Grosso do Sul,Bonito,Fazenda salobrão,1998,2000,,,,5002209,-56.492859,-21.124341,4934.414,-56.492859,-21.124341,3,,IBGE 2015 (Municipality admin center),Galati et al. 2006,2006,"Area de floresta sazonal em sub montanha em pequenas fazendas, com coleta no nivel do solo",
2162,L. longipalpis,,L_longipalpis,Brazil,Mato Grosso do Sul,Bonito,Fazenda tres coxilhas,1998,2000,,56º50’46.24762’’W,20º52’19.28924’’S,5002209,-56.492859,-21.124341,4934.414,-56.846167,-20.872,1,coordinates,Cited in ref,Galati et al. 2006,2006,"Mata razoavelmente preservada, e com arvores de 20 a 25 metros",
2163,L. whitmani,,L_whitmani,Brazil,Mato Grosso do Sul,Bonito,Fazenda tres coxilhas,1998,2000,,56º50’46.24762’’W,20º52’19.28924’’S,5002209,-56.492859,-21.124341,4934.414,-56.846167,-20.872,1,coordinates,Cited in ref,Galati et al. 2006,2006,"Mata razoavelmente preservada, e com arvores de 20 a 25 metros",
2164,L. longipalpis,,L_longipalpis,Brazil,Mato Grosso do Sul,Bonito,N S Aparecida,2000,2000,0,,,5002209,-56.492859,-21.124341,4934.414,-56.492859,-21.124341,3,,IBGE 2015 (Municipality admin center),Collection data: USP (Galati),,,
2167,L. longipalpis,,L_longipalpis,Brazil,Mato Grosso do Sul,Bonito,Serra da bodoquena,1998,1999,, 56°32'-57°24' ,19°48'-22°16' ,5002209,-56.492859,-21.124341,4934.414,-56.492859,-21.124341,3,,IBGE 2015 (Municipality admin center),Galati et al. 2001,2001,"Utilizou-se black and white shannon, alternando suas localizações sucessivamente, por 12 capturas",
