"cv_0","pa","lon","lat","bio10_SA","bio13_SA","bio15_SA","bio2_SA","bio3_SA"
3,0,-58.3125,-31.1041666666667,24.8533334732056,157,30.7103734586332,12.2983334461848,48.1155456718182
1,0,-58.3125,-14.8958333333333,24.7926667531331,297,73.8310397224049,14.7979998588562,75.1320126795699
1,0,-43.4791666666667,-8.06249999999999,26.5960000356038,170,84.3111603842363,13.2269999186198,82.4625883020714
8,0,-49.9791666666667,-3.52083333333333,26.9880002339681,425,78.2036545904397,10.860667069753,88.6150996248279
8,0,-69.5208333333333,-32.3958333333333,7.15333314736684,37,49.771772707142,7.76966665188472,39.3281373907327
10,0,-56.4375,-8.43749999999999,25.7660004297892,346,66.9317458449971,11.1593338648478,79.5504166285392
6,0,-66.6041666666667,-33.2708333333333,25.2526664733887,67,64.3239711421737,14.0216668844223,47.0905001435188
4,0,-54.8125,-27.2708333333333,25.0493332544963,169,12.9391297540561,12.1659999688466,53.8128099592711
3,0,-59.3958333333333,-29.4375,25.5859994888306,143,40.5112157798349,10.8693333466848,46.2446114736035
7,0,-47.3958333333333,-4.10416666666666,26.6833333969116,328,78.8145454456062,11.579333782196,89.0170095363023
8,0,-54.6458333333333,-13.0208333333333,24.9680004119873,301,84.7648098430716,14.9956669012705,73.8557312788878
2,0,-53.4791666666667,-26.9375,23.5073337554932,203,10.4002155809327,12.35700015227,54.5033518428116
3,0,-42.8958333333333,-8.60416666666666,26.5473333994548,153,86.7686211418461,14.0183335940043,83.0076574413399
1,0,-46.4375,-16.3125,22.5153331756592,269,87.4139650636477,11.7059997717539,66.9832870529913
3,0,-60.8958333333333,-25.1041666666667,27.2426668802897,138,63.2491335428356,12.6399998664856,51.2487860120438
4,0,-51.6458333333333,-24.8125,20.7580002148946,224,31.5812031436593,11.8130002419154,60.430733327692
9,0,-46.0208333333333,-21.4791666666667,22.5133334795634,282,73.0842504318802,13.1853334108988,61.1451183991551
5,0,-43.7708333333333,-8.64583333333333,26.9266672134399,153,86.3082525091772,13.3796666463216,82.3871110522829
4,0,-55.5625,-20.4791666666667,26.363333384196,224,51.9105523967375,11.4279995759328,64.5649735300582
4,0,-46.6041666666667,-16.1458333333333,22.3813330332438,276,87.3162322017053,11.5770001411438,67.1363943933199
4,0,-52.0208333333333,-14.9375,26.1440000534058,273,82.9390076725112,14.0873330434163,70.77639089441
3,0,-44.8958333333333,-10.9791666666667,25.348666826884,185,91.7736438792234,15.4733334382375,78.0063135164831
1,0,-45.1458333333333,-11.8541666666667,25.8139994939168,200,89.1007988471474,14.5973328749339,76.6666644127095
